country, revenue_generated 
United Kingdom,"$532,046.04 "
Netherlands,"$282,371.70 "
EIRE,"$250,285.22 "
Australia,"$131,949.72 "
France,"$50,059.26 "
Germany,"$45,470.00 "
Sweden,"$33,959.34 "
Japan,"$30,950.17 "
Spain,"$29,795.27 "
Switzerland,"$26,198.12 "
Norway,"$23,440.65 "
Finland,"$14,961.92 "
Denmark,"$14,423.06 "
Portugal,"$14,028.76 "
Channel Islands,"$12,379.12 "
Belgium,"$12,364.37 "
Cyprus,"$11,212.92 "
Singapore,"$9,120.39 "
Italy,"$8,131.57 "
Israel,"$7,221.69 "
Poland,"$6,239.14 "
Austria,"$5,728.01 "
Greece,"$4,323.21 "
Iceland,"$4,310.00 "
Canada,"$3,614.82 "
Malta,"$2,505.47 "
United Arab Emirates,"$1,902.28 "
USA,"$1,730.92 "
Lebanon,"$1,693.88 "
Lithuania,"$1,661.06 "
European Community,"$1,291.75 "
Brazil,"$1,143.60 "
RSA,"$1,002.31 "
Czech Republic,$707.72 
Bahrain,$548.40 
Saudi Arabia,$131.17 
