country,CustomerID, customers_purchase 
Australia,12415," $123,725.45 "
Australia,12431," $5,443.61 "
Australia,12388," $2,780.66 "
Austria,12360," $2,662.06 "
Austria,12865," $1,548.07 "
Austria,12818," $1,517.88 "
Bahrain,12355, $459.40 
Bahrain,12353, $89.00 
Belgium,12362," $5,154.58 "
Belgium,12449," $4,067.29 "
Belgium,12417," $3,142.50 "
Brazil,12769," $1,143.60 "
Canada,17444," $2,940.04 "
Canada,17443, $534.24 
Canada,15388, $140.54 
Channel Islands,14936," $8,117.42 "
Channel Islands,14930," $2,372.86 "
Channel Islands,14934," $1,888.84 "
Cyprus,12359," $6,245.53 "
Cyprus,12370," $3,268.49 "
Cyprus,12455," $1,698.90 "
Czech Republic,12781, $707.72 
Denmark,12435," $7,829.89 "
Denmark,12429," $3,312.42 "
Denmark,12406," $3,280.75 "
EIRE,14911," $132,572.62 "
EIRE,14156," $113,384.14 "
EIRE,14016," $4,328.46 "
European Community,15108," $1,291.75 "
Finland,12428," $7,877.20 "
Finland,12664," $4,863.88 "
Finland,12704," $2,220.84 "
France,12731," $18,793.41 "
France,12678," $17,588.26 "
France,12681," $13,677.59 "
Germany,12471," $18,740.92 "
Germany,12621," $13,612.07 "
Germany,12477," $13,117.01 "
Greece,14439," $2,661.24 "
Greece,12717, $980.98 
Greece,12478, $680.99 
Iceland,12347," $4,310.00 "
Israel,12688," $4,873.81 "
Israel,12653," $2,209.85 "
Israel,12512, $138.03 
Italy,12594," $3,320.22 "
Italy,12578," $2,753.36 "
Italy,12610," $2,057.99 "
Japan,12753," $21,024.01 "
Japan,12798," $6,977.04 "
Japan,12754," $2,949.12 "
Lebanon,12764," $1,693.88 "
Lithuania,15332," $1,661.06 "
Malta,17828," $1,599.97 "
Malta,15480, $905.50 
Netherlands,14646," $279,489.02 "
Netherlands,12759," $1,531.44 "
Netherlands,12775," $1,351.24 "
Norway,12433," $13,375.87 "
Norway,12432," $5,059.32 "
Norway,12444," $5,005.46 "
Poland,12779," $3,868.70 "
Poland,12576," $1,306.98 "
Poland,12815," $1,063.46 "
Portugal,12766," $6,989.63 "
Portugal,12757," $4,227.70 "
Portugal,12356," $2,811.43 "
RSA,12446," $1,002.31 "
Saudi Arabia,12565, $131.17 
Singapore,12744," $9,120.39 "
Spain,12540," $13,309.04 "
Spain,12557," $11,990.96 "
Spain,12484," $4,495.27 "
Sweden,17404," $30,300.82 "
Sweden,12483," $2,327.13 "
Sweden,12676," $1,331.39 "
Switzerland,12409," $11,056.93 "
Switzerland,12451," $8,933.52 "
Switzerland,12357," $6,207.67 "
United Arab Emirates,12739," $1,013.04 "
United Arab Emirates,17829, $889.24 
United Kingdom,18102," $256,438.49 "
United Kingdom,17450," $187,482.17 "
United Kingdom,17511," $88,125.38 "
USA,12646," $1,346.97 "
USA,12733, $383.95 
USA,12607, $-   
