customerid,InvoiceNo,month,order_count
12468,542371,1,12
14229,540635,1,20
15235,541800,1,10
13081,540372,1,171
13408,540361,1,6
14312,540371,1,15
13324,542632,1,5
18085,541112,1,20
16085,541842,1,28
15005,540533,1,25
12826,541574,1,16
17961,541236,1,1
15039,541552,1,41
14978,541018,1,38
13767,540170,1,5
15485,540496,1,20
13680,540033,1,49
12957,540019,1,29
12971,540844,1,4
14702,542422,1,21
16124,542240,1,11
12476,542648,1,21
14733,540834,1,36
15498,540114,1,9
17460,542108,1,6
16735,540524,1,47
15967,542057,1,35
16748,540529,1,15
15916,541110,1,33
13397,540032,1,8
16401,541239,1,14
17841,540021,1,71
13174,542398,1,73
14051,542583,1,8
15831,541591,1,17
16554,540945,1,1
18190,541004,1,9
12748,541248,1,7
16767,542373,1,50
14744,542736,1,1
12935,541972,1,27
14761,540518,1,7
15213,541139,1,22
16923,540499,1,24
17602,541596,1,103
14031,541597,1,6
14243,542227,1,21
17811,541648,1,32
15346,540779,1,17
14532,542596,1,9
16315,541015,1,14
16029,541611,1,2
14541,541974,1,25
13078,542372,1,9
12388,541271,1,19
12829,540420,1,6
12720,542626,1,19
13534,542405,1,2
12431,542542,1,20
13330,542429,1,13
13672,540825,1,3
17787,541660,1,48
13148,542615,1,1
15311,540680,1,33
17707,540465,1,3
15708,542614,1,7
12947,540404,1,16
16327,542503,1,35
12735,540351,1,22
14548,542141,1,2
13004,540561,1,23
12681,541567,1,31
15339,542100,1,41
12681,540178,1,34
13488,540907,1,71
17841,541851,1,17
16725,542412,1,17
17018,541427,1,6
18041,541500,1,14
13700,541249,1,19
15749,540818,1,2
17428,540768,1,10
13468,542130,1,10
16949,542350,1,5
16814,540073,1,22
15694,541013,1,10
13089,540163,1,54
13634,541258,1,38
16473,540416,1,8
14428,541510,1,24
18041,540359,1,27
13859,541413,1,28
18125,542393,1,83
15034,540248,1,43
17062,542599,1,18
14696,541481,1,16
15039,541903,1,1
13385,541123,1,35
14616,542222,1,1
14911,541979,1,15
15164,540043,1,16
17611,541593,1,46
16161,541005,1,29
16013,540408,1,1
14334,541919,1,22
13230,541849,1,49
14527,540640,1,21
14426,542628,1,3
16923,542600,1,33
14404,541259,1,19
13148,542607,1,65
16013,540401,1,2
12727,541857,1,12
17949,540264,1,1
15046,541251,1,11
13798,540406,1,3
14180,541585,1,14
17786,542239,1,28
17954,541223,1,67
14060,542148,1,11
18109,540172,1,18
18061,541706,1,5
14439,541932,1,32
16889,540415,1,48
13199,541407,1,1
12481,540414,1,24
18283,541854,1,45
18179,540472,1,18
13078,540795,1,13
17988,541281,1,13
15189,542134,1,3
17238,541794,1,26
16503,541086,1,21
15262,541659,1,10
13502,541605,1,4
14167,540984,1,18
14898,541294,1,6
12377,542586,1,34
13408,541883,1,20
12778,542720,1,9
17389,542739,1,3
13209,541316,1,6
16755,542434,1,16
17315,540005,1,16
14560,542351,1,4
14248,542124,1,8
16875,540003,1,22
15769,540160,1,3
16757,542059,1,7
16638,541218,1,9
14298,542690,1,1
17231,541602,1,31
15052,541985,1,30
12748,541432,1,4
13089,542591,1,1
17673,541856,1,44
15640,540701,1,9
16593,541243,1,1
15311,541575,1,33
12393,541149,1,3
12417,541991,1,16
13408,542691,1,10
17188,542527,1,20
12483,540040,1,13
16912,541686,1,13
16918,542266,1,31
13008,541681,1,14
16029,541610,1,3
14527,541565,1,19
18032,540544,1,5
14779,541785,1,4
14099,541225,1,19
15365,542530,1,12
13552,542430,1,8
16422,540565,1,1
17848,541008,1,5
13368,540279,1,1
17314,542641,1,5
12971,542142,1,4
15139,540461,1,8
12971,542004,1,4
15291,540986,1,22
14805,542598,1,19
12437,540972,1,7
17064,541264,1,23
16029,541105,1,2
18260,540539,1,26
13694,542517,1,8
16904,541564,1,45
15518,540816,1,43
13102,541782,1,1
14045,540262,1,1
15938,541609,1,5
18229,541136,1,7
14702,540532,1,20
