InvoiceNo,CustomerID
C536379,14527
C536383,15311
C536391,17548
C536506,17897
C536543,17841
C536548,12472
C536606,14092
C536622,12471
C536625,14766
C536642,14390
C536734,16042
C536737,15922
C536757,15838
C536758,13767
C536760,17547
C536807,15834
C536812,16546
C536814,13958
C536815,14443
C536816,14443
C536817,14156
C536818,16995
C536820,18168
C536822,14625
C536825,15384
C536826,17924
C536827,13408
C536828,14264
C536829,13295
C536850,14213
C536853,14679
C536854,15240
C536855,18225
C536978,17954
C536979,17841
C537024,13941
C537039,15708
C537043,15351
C537132,15221
C537143,12748
C537157,15880
C537164,14527
C537203,14606
C537232,12586
C537234,16161
C537314,13497
C537320,14867
C537333,12474
C537373,14487
C537379,15882
C537383,16550
C537398,15426
C537402,15502
C537406,15502
C537408,15502
C537413,14409
C537414,16861
C537416,16138
C537417,13481
C537431,16782
C537444,14850
C537445,15021
C537530,13319
C537596,17954
C537597,15498
C537602,17511
C537611,17675
C537656,15100
C537677,14796
C537684,14901
C537746,15021
C537756,14952
C537763,16713
C537788,15916
C537797,13113
C537798,16553
C537805,15311
C537807,13495
C537812,14299
C537814,12712
C537820,16016
C537821,18193
C537824,12870
C537832,16858
C537834,13267
C537835,14618
C537838,13115
C537853,13370
C537856,14388
C537857,17340
C537860,16252
C537893,12721
C537998,17411
C538052,15181
C538059,14205
C538062,17702
C538066,15738
C538075,13021
C538081,16898
C538082,13777
C538083,15750
C538084,12649
C538085,16350
C538088,14766
C538089,18230
C538091,16499
C538098,14441
C538099,15279
C538100,16579
C538102,14047
C538103,17442
C538105,16781
C538109,16042
C538110,17307
C538111,17950
C538112,14898
C538114,14217
C538115,16817
C538118,17700
C538119,13136
C538121,15535
C538122,14696
C538123,12605
C538124,15329
C538164,14031
C538314,15514
C538341,15514
C538344,13448
C538350,13798
C538357,13798
C538362,15179
C538372,16923
C538373,16779
C538375,17126
C538376,16393
C538377,15224
C538463,17085
C538500,13715
C538530,14796
C538531,13715
C538536,15881
C538595,15555
C538628,17231
C538632,14085
C538642,12476
C538643,12476
C538647,15808
C538650,15311
C538670,13448
C538684,16161
C538690,13802
C538691,14176
C538692,13599
C538693,16558
C538694,16143
C538695,14032
C538696,13050
C538698,13329
C538699,16422
C538700,16499
C538701,16863
C538702,13008
C538703,17519
C538704,14206
C538705,15093
C538711,15468
C538712,17677
C538713,16570
C538717,18141
C538718,15602
C538720,17526
C538723,12434
C538725,16955
C538726,13078
C538734,16810
C538742,13599
C538745,16722
C538749,15713
C538755,16782
C538763,17722
C538768,14829
C538771,13078
C538794,14907
C538798,17041
