customerid,country,rep_customer,revenue
12748,United Kingdom,210,33719.73
14911,EIRE,201,143825.06
17841,United Kingdom,124,40991.57
13089,United Kingdom,97,58825.83
14606,United Kingdom,93,12156.65
15311,United Kingdom,91,60767.9
12971,United Kingdom,86,11189.91
14646,Netherlands,74,280206.02
16029,United Kingdom,63,81024.84
13408,United Kingdom,62,28117.04
18102,United Kingdom,60,259657.3
13798,United Kingdom,57,37153.85
14156,EIRE,55,117379.63
14527,United Kingdom,55,8508.82
16422,United Kingdom,51,34684.4
13694,United Kingdom,50,65039.62
15061,United Kingdom,48,54534.14
16013,United Kingdom,47,37130.6
15039,United Kingdom,47,19914.44
17450,United Kingdom,46,194550.79
17949,United Kingdom,45,58510.48
14298,United Kingdom,44,51527.3
15189,United Kingdom,41,16225.39
17961,United Kingdom,39,1296.44
17811,United Kingdom,39,7837.73
17315,United Kingdom,38,6292.26
13199,United Kingdom,38,9817.12
12921,United Kingdom,37,16587.09
13468,United Kingdom,37,5704.97
13767,United Kingdom,37,17220.36
13263,United Kingdom,35,7454.07
17850,United Kingdom,34,5391.21
16839,United Kingdom,34,16594.35
17389,United Kingdom,34,31833.68
16133,United Kingdom,33,14589.04
13777,United Kingdom,33,25977.16
12569,Germany,32,4124.69
14735,United Kingdom,32,6065.69
15078,United Kingdom,32,9743.11
12682,France,31,12288.22
17511,United Kingdom,31,91062.38
17675,United Kingdom,31,20374.28
15159,United Kingdom,30,18641.01
17757,United Kingdom,30,5605.29
12471,Germany,30,19824.05
17677,United Kingdom,30,16363.23
17381,United Kingdom,29,20275.61
15005,United Kingdom,28,6316.57
12901,United Kingdom,28,17654.54
13098,United Kingdom,28,28882.44
16684,United Kingdom,28,66653.56
13018,United Kingdom,28,7277.7
17428,United Kingdom,28,17256.85
16168,United Kingdom,27,3787.6
15856,United Kingdom,27,16387.57
15498,United Kingdom,27,13316.4
18109,United Kingdom,26,8052.97
16525,United Kingdom,26,13027.45
13078,United Kingdom,26,12627.94
13319,United Kingdom,26,10845.55
17243,United Kingdom,26,8676.85
15769,United Kingdom,26,56252.72
18118,United Kingdom,26,5653.82
14667,United Kingdom,25,9241.2
12841,United Kingdom,25,4022.35
14180,United Kingdom,25,4748.52
13854,United Kingdom,25,8109.52
17581,United Kingdom,25,11045.04
14849,United Kingdom,25,7930.54
12720,Germany,25,5781.73
13534,United Kingdom,25,5870.08
13113,United Kingdom,24,12245.96
13069,United Kingdom,24,4436.12
13102,United Kingdom,24,6424.09
14056,United Kingdom,23,8214.65
15615,United Kingdom,23,10399.74
17857,United Kingdom,23,26879.04
14051,United Kingdom,23,15610.39
16353,United Kingdom,23,6675.71
12681,France,22,13787.54
16779,United Kingdom,22,10629.72
15358,United Kingdom,22,8347.2
16333,United Kingdom,22,26626.8
14560,United Kingdom,22,2237.77
14194,United Kingdom,21,11349.52
16729,United Kingdom,21,7239.92
13668,United Kingdom,21,6363.59
18041,United Kingdom,21,4183.39
16523,United Kingdom,21,9418.47
13599,United Kingdom,21,5153.67
16814,United Kingdom,21,6509.1
14688,United Kingdom,21,5630.87
17068,United Kingdom,21,4552.14
12415,Australia,21,124914.53
16931,United Kingdom,21,4604.22
16672,United Kingdom,20,8134.94
12621,Germany,20,13689.67
13881,United Kingdom,20,17159.52
16558,United Kingdom,20,8338.49
