customerid,country,distinct_orders,revenue
12748,United Kingdom,210,"$33,719.73"
14911,EIRE,201,"$143,825.06"
17841,United Kingdom,124,"$40,991.57"
13089,United Kingdom,97,"$58,825.83"
14606,United Kingdom,93,"$12,156.65"
15311,United Kingdom,91,"$60,767.90"
12971,United Kingdom,86,"$11,189.91"
14646,Netherlands,74,"$280,206.02"
16029,United Kingdom,63,"$81,024.84"
13408,United Kingdom,62,"$28,117.04"
18102,United Kingdom,60,"$259,657.30"
13798,United Kingdom,57,"$37,153.85"
14156,EIRE,55,"$117,379.63"
14527,United Kingdom,55,"$8,508.82"
16422,United Kingdom,51,"$34,684.40"
13694,United Kingdom,50,"$65,039.62"
15061,United Kingdom,48,"$54,534.14"
16013,United Kingdom,47,"$37,130.60"
15039,United Kingdom,47,"$19,914.44"
17450,United Kingdom,46,"$194,550.79"
17949,United Kingdom,45,"$58,510.48"
14298,United Kingdom,44,"$51,527.30"
15189,United Kingdom,41,"$16,225.39"
17811,United Kingdom,39,"$7,837.73"
17961,United Kingdom,39,"$1,296.44"
17315,United Kingdom,38,"$6,292.26"
13199,United Kingdom,38,"$9,817.12"
12921,United Kingdom,37,"$16,587.09"
13767,United Kingdom,37,"$17,220.36"
13468,United Kingdom,37,"$5,704.97"
13263,United Kingdom,35,"$7,454.07"
17389,United Kingdom,34,"$31,833.68"
17850,United Kingdom,34,"$5,391.21"
16839,United Kingdom,34,"$16,594.35"
16133,United Kingdom,33,"$14,589.04"
13777,United Kingdom,33,"$25,977.16"
14735,United Kingdom,32,"$6,065.69"
15078,United Kingdom,32,"$9,743.11"
12569,Germany,32,"$4,124.69"
12682,France,31,"$12,288.22"
17511,United Kingdom,31,"$91,062.38"
17675,United Kingdom,31,"$20,374.28"
17757,United Kingdom,30,"$5,605.29"
15159,United Kingdom,30,"$18,641.01"
12471,Germany,30,"$19,824.05"
17677,United Kingdom,30,"$16,363.23"
17381,United Kingdom,29,"$20,275.61"
16684,United Kingdom,28,"$66,653.56"
13018,United Kingdom,28,"$7,277.70"
15005,United Kingdom,28,"$6,316.57"
17428,United Kingdom,28,"$17,256.85"
12901,United Kingdom,28,"$17,654.54"
13098,United Kingdom,28,"$28,882.44"
15856,United Kingdom,27,"$16,387.57"
16168,United Kingdom,27,"$3,787.60"
15498,United Kingdom,27,"$13,316.40"
16525,United Kingdom,26,"$13,027.45"
13319,United Kingdom,26,"$10,845.55"
17243,United Kingdom,26,"$8,676.85"
18109,United Kingdom,26,"$8,052.97"
18118,United Kingdom,26,"$5,653.82"
15769,United Kingdom,26,"$56,252.72"
13078,United Kingdom,26,"$12,627.94"
14180,United Kingdom,25,"$4,748.52"
12841,United Kingdom,25,"$4,022.35"
13854,United Kingdom,25,"$8,109.52"
14667,United Kingdom,25,"$9,241.20"
14849,United Kingdom,25,"$7,930.54"
12720,Germany,25,"$5,781.73"
17581,United Kingdom,25,"$11,045.04"
13534,United Kingdom,25,"$5,870.08"
13069,United Kingdom,24,"$4,436.12"
13113,United Kingdom,24,"$12,245.96"
13102,United Kingdom,24,"$6,424.09"
14056,United Kingdom,23,"$8,214.65"
15615,United Kingdom,23,"$10,399.74"
16353,United Kingdom,23,"$6,675.71"
14051,United Kingdom,23,"$15,610.39"
17857,United Kingdom,23,"$26,879.04"
