country, revenue_generated 
United Kingdom," $6,235,827.35 "
Germany," $176,228.21 "
France," $146,653.58 "
Switzerland," $29,541.28 "
Belgium," $28,546.59 "
Spain," $24,979.31 "
Portugal," $15,031.05 "
Norway," $11,722.81 "
Italy," $8,758.94 "
Channel Islands," $7,707.17 "
Finland," $7,364.82 "
Australia," $5,127.55 "
Austria," $4,426.31 "
Japan," $4,390.45 "
Denmark," $4,345.08 "
Sweden," $2,636.57 "
Netherlands," $2,289.84 "
Cyprus," $1,733.37 "
Poland, $974.00 
Greece, $387.31 
Canada, $51.56 
USA, $-   
Israel, $(227.44)
