CustomerID,Current InvoiceNo,InvoiceDate,Country,previous_date,previous_invoiceNo,time_diff
12347,542237,1/26/2011,Iceland,12/7/2010,537626,50
12347,549222,4/7/2011,Iceland,1/26/2011,542237,71
12347,556201,6/9/2011,Iceland,4/7/2011,549222,63
12347,562032,8/2/2011,Iceland,6/9/2011,556201,54
12347,573511,10/31/2011,Iceland,8/2/2011,562032,90
12347,581180,12/7/2011,Iceland,10/31/2011,573511,37
12348,541998,1/25/2011,Finland,12/16/2010,539318,40
12348,548955,4/5/2011,Finland,1/25/2011,541998,70
12348,568172,9/25/2011,Finland,4/5/2011,548955,173
12352,545332,3/1/2011,Norway,2/16/2011,544156,13
12352,546869,3/17/2011,Norway,3/1/2011,545323,16
12352,547390,3/22/2011,Norway,3/17/2011,546869,5
12352,567505,9/20/2011,Norway,3/22/2011,547390,182
12352,568699,9/28/2011,Norway,9/20/2011,567505,8
12352,574275,11/3/2011,Norway,9/28/2011,568699,36
12356,549435,4/8/2011,Portugal,1/18/2011,541430,80
12356,576895,11/17/2011,Portugal,4/8/2011,549435,223
12358,581232,12/8/2011,Austria,7/12/2011,559707,149
12359,543370,2/7/2011,Cyprus,1/12/2011,540946,26
12359,555477,6/3/2011,Cyprus,2/7/2011,543370,116
12359,571034,10/13/2011,Cyprus,6/3/2011,555477,132
12393,541149,1/14/2011,Australia,1/11/2011,540700,3
12393,549313,4/8/2011,Australia,1/14/2011,541149,84
12393,568708,9/28/2011,Australia,4/8/2011,549313,173
12394,569997,10/7/2011,Denmark,5/6/2011,552188,154
12395,539447,12/17/2010,Belgium,12/3/2010,537026,14
12395,543733,2/11/2011,Belgium,12/17/2010,539447,56
12395,547517,3/23/2011,Belgium,2/11/2011,543733,40
12395,551985,5/5/2011,Belgium,3/23/2011,547517,43
12395,552884,5/12/2011,Belgium,5/5/2011,551985,7
12395,558623,6/30/2011,Belgium,5/12/2011,552884,49
12395,563852,8/19/2011,Belgium,6/30/2011,558623,50
12395,569496,10/4/2011,Belgium,8/19/2011,563852,46
12395,575151,11/8/2011,Belgium,10/4/2011,569496,35
12395,577551,11/20/2011,Belgium,11/8/2011,575154,12
12397,574336,11/4/2011,Belgium,7/27/2011,561507,100
12399,552543,5/10/2011,Belgium,3/23/2011,547412,48
